template({context: `{content} - T {toxic_rate}, IT {insult_rate}, TH {threat_rate}, RC {racist_rate}, SEX {sexual_rate}`});
fasti bagi rapot - T 4, IT 3, TH 0, RC 4, SEX 6
kalau sama stranger mikir mikir - T 5, IT 16, TH 0, RC 15, SEX 6
temen aku yang aku ajakin kadang ampe ngamuk ngamuk - T 0, IT 0, TH 0, RC 0, SEX 0
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
bener - T 1, IT 1, TH 0, RC 2, SEX 1
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
apalagi rage quit - T 42, IT 25, TH 0, RC 9, SEX 30
temen aku impost 5x berturut njir - T 0, IT 0, TH 0, RC 0, SEX 0
kece - T 30, IT 14, TH 0, RC 12, SEX 35
miiint - T 30, IT 14, TH 0, RC 12, SEX 35
 hbd - T 27, IT 4, TH 4, RC 15, SEX 5
, sky.#9188 saat ini sedang afk - 5 hours, 1 minutes, 36 seconds agoalasan: - T 67, IT 29, TH 0, RC 3, SEX 7
ingfo  - T 27, IT 4, TH 4, RC 15, SEX 5
kalian punya temen ya? - T 6, IT 5, TH 2, RC 1, SEX 0
t_t - T 30, IT 14, TH 0, RC 12, SEX 35
ingfokan mint - T 30, IT 14, TH 0, RC 12, SEX 35
punya tp ga banyak - T 4, IT 53, TH 6, RC 5, SEX 0
punya kalo lagi dibutuhin - T 90, IT 10, TH 1, RC 3, SEX 11
trur - T 30, IT 14, TH 0, RC 12, SEX 35
untung punya pas ane butuhin - T 52, IT 6, TH 1, RC 9, SEX 4
punya bang temen - T 1, IT 1, TH 0, RC 1, SEX 0
ngechat cuma mau utang - T 1, IT 12, TH 0, RC 3, SEX 1
ingfokan vaid kh - T 3, IT 3, TH 0, RC 4, SEX 7
sad - T 30, IT 14, TH 0, RC 12, SEX 35
ngechat cuman minta jawaban - T 92, IT 80, TH 0, RC 16, SEX 69
org ga ngerti, malah minta jawaban - T 1, IT 29, TH 0, RC 5, SEX 1
kasih jawaban salah - T 7, IT 2, TH 0, RC 12, SEX 2
pisau - T 30, IT 14, TH 0, RC 12, SEX 35
ada yg maen lokapala - T 0, IT 0, TH 0, RC 1, SEX 1
beceng - T 30, IT 14, TH 0, RC 12, SEX 35
kalau ada ajarin aku slur  - T 0, IT 0, TH 0, RC 3, SEX 0
lokapala control nya ga enak - T 0, IT 11, TH 0, RC 0, SEX 0
kaya mana - T 9, IT 38, TH 0, RC 8, SEX 8
kayak berat banget gitu - T 0, IT 0, TH 0, RC 1, SEX 0
misal kamu gerakin ke atashero mu geraknya agak telat - T 4, IT 4, TH 13, RC 7, SEX 0
nah - T 7, IT 3, TH 0, RC 7, SEX 11
lokapala moha indo kn? - T 14, IT 6, TH 0, RC 7, SEX 41
muternya lambar - T 30, IT 14, TH 0, RC 12, SEX 35
war thunder itu - T 9, IT 15, TH 0, RC 19, SEX 2
delay nya kerasa - T 2, IT 8, TH 0, RC 3, SEX 9
g papa dah - T 0, IT 1, TH 0, RC 2, SEX 0
guabmaen g peduki fituex - T 3, IT 7, TH 0, RC 7, SEX 11
hero nya dikit - T 2, IT 8, TH 0, RC 3, SEX 9
mqu asah mikro makro sama mechanic - T 4, IT 3, TH 0, RC 2, SEX 2
game moba / rts sekarang minimal hero nya 90 buat rame - T 1, IT 2, TH 0, RC 0, SEX 0
lokapala ga ada 60 - T 0, IT 0, TH 0, RC 1, SEX 0
updatenya kurang menarik juga sih - T 0, IT 2, TH 0, RC 0, SEX 0
menurutku itu aja masalah nya - T 0, IT 2, TH 0, RC 1, SEX 0
naekin rank lol wr mu nam - T 18, IT 10, TH 0, RC 5, SEX 11
me ga pernah tertarik dengan embel embel"karya anak bangsa" - T 7, IT 47, TH 0, RC 3, SEX 2
gojek sih yg ane tertarik - T 0, IT 4, TH 0, RC 0, SEX 2
b-aja sih gojek - T 2, IT 11, TH 0, RC 0, SEX 7
yg megang paling juga cn - T 3, IT 8, TH 0, RC 1, SEX 10
kena fitnah gila - T 16, IT 12, TH 14, RC 22, SEX 1
, sky.#9188 saat ini sedang afk - 5 hours, 9 minutes, 35 seconds agoalasan: - T 34, IT 10, TH 0, RC 1, SEX 3
goblog - T 30, IT 14, TH 0, RC 12, SEX 35
baru bangun banyak yang nge dm sama nge wa - T 0, IT 1, TH 0, RC 0, SEX 0
waduh viral ya bang? - T 3, IT 0, TH 35, RC 0, SEX 0
dan aku ga tau apa apa - T 0, IT 0, TH 0, RC 0, SEX 0
 banyak yg bilang bakal ada hero baru,dan itu cewek.eh tau nya furry :v - T 0, IT 0, TH 0, RC 0, SEX 0
siap siap push mmr pake hero broken - T 20, IT 2, TH 0, RC 7, SEX 18
avaan coek - T 30, IT 12, TH 0, RC 16, SEX 23
henceut - T 30, IT 14, TH 0, RC 12, SEX 35
dah rilis itu heronya? - T 1, IT 3, TH 0, RC 7, SEX 0
bodoh - T 25, IT 6, TH 0, RC 6, SEX 24
 live - T 22, IT 1, TH 4, RC 2, SEX 2
byu unlimited 2mbps empot2an buat donlot - T 30, IT 23, TH 0, RC 0, SEX 1
kayaknya udah - T 60, IT 4, TH 1, RC 8, SEX 85
waduh - T 30, IT 14, TH 0, RC 12, SEX 35
hbd lorts  - T 27, IT 4, TH 4, RC 15, SEX 5
, sky.#9188 saat ini sedang afk - 5 hours, 23 minutes, 4 seconds agoalasan: - T 14, IT 3, TH 0, RC 1, SEX 1
waduh - T 30, IT 14, TH 0, RC 12, SEX 35
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
bang tim - T 0, IT 0, TH 0, RC 1, SEX 4
hbd - T 30, IT 14, TH 0, RC 12, SEX 35
duitnya - T 30, IT 14, TH 0, RC 12, SEX 35
 udh kmu cek vid? - T 8, IT 2, TH 2, RC 19, SEX 2
gaul ada ipnya - T 1, IT 0, TH 0, RC 2, SEX 2
ini lagi baca2 updatenya - T 54, IT 27, TH 0, RC 1, SEX 5
pagi2 ngidol - T 30, IT 14, TH 0, RC 12, SEX 35
, selamat, level cintamu kepada lort naik menjadi level 1!   - T 0, IT 0, TH 0, RC 0, SEX 0
hello - T 30, IT 14, TH 0, RC 12, SEX 35
halo - T 30, IT 14, TH 0, RC 12, SEX 35
halo - T 30, IT 14, TH 0, RC 12, SEX 35
hadeh spei - T 0, IT 1, TH 0, RC 1, SEX 0
ffs - T 30, IT 14, TH 0, RC 12, SEX 35
buset - T 30, IT 14, TH 0, RC 12, SEX 35
bangun tidur > liat skrg w ultahday ruined - T 1, IT 0, TH 0, RC 3, SEX 14
njir kok minum minyak kayu putih - T 0, IT 0, TH 0, RC 0, SEX 0
gini amat mw sembuh - T 0, IT 4, TH 0, RC 0, SEX 0
gila - T 68, IT 64, TH 2, RC 49, SEX 16
ane mw swab hari ini - T 1, IT 1, TH 0, RC 1, SEX 0
dikasih obat manjur - T 82, IT 47, TH 0, RC 62, SEX 84
njir - T 0, IT 0, TH 0, RC 1, SEX 1
delay berujung mute - T 30, IT 14, TH 0, RC 12, SEX 35
njir - T 0, IT 0, TH 0, RC 1, SEX 1
sramz - T 30, IT 14, TH 0, RC 12, SEX 35
hahay - T 30, IT 14, TH 0, RC 12, SEX 35
bener - T 1, IT 1, TH 0, RC 2, SEX 1
tewwwet - T 30, IT 14, TH 0, RC 12, SEX 35
teeteweett tettetettetettewewet - T 30, IT 14, TH 0, RC 12, SEX 35
infoinfo whatsapp - T 30, IT 14, TH 0, RC 12, SEX 35
ping iya - T 9, IT 2, TH 1, RC 3, SEX 2
no info - T 0, IT 0, TH 0, RC 0, SEX 0
info - T 26, IT 5, TH 0, RC 4, SEX 6
jogja - T 30, IT 14, TH 0, RC 12, SEX 35
no info - T 0, IT 0, TH 0, RC 0, SEX 0
udah ke jogja yap? - T 6, IT 1, TH 0, RC 3, SEX 3
udhen - T 30, IT 14, TH 0, RC 12, SEX 35
udh men - T 9, IT 6, TH 0, RC 15, SEX 18
lagi mau keliling keliling - T 2, IT 3, TH 0, RC 0, SEX 3
enak gak - T 1, IT 3, TH 0, RC 0, SEX 1
enak - T 8, IT 4, TH 0, RC 0, SEX 13
hujan - T 30, IT 14, TH 0, RC 12, SEX 35
baju basah - T 10, IT 6, TH 0, RC 8, SEX 17
nginap mana - T 1, IT 2, TH 0, RC 2, SEX 1
masi blm tau - T 1, IT 0, TH 0, RC 0, SEX 4
kece - T 30, IT 14, TH 0, RC 12, SEX 35
 muted? - T 27, IT 4, TH 4, RC 15, SEX 5
kenapa itu - T 3, IT 5, TH 0, RC 10, SEX 0
muda - T 30, IT 14, TH 0, RC 12, SEX 35
efek nya kek jojo akwkaka - T 41, IT 80, TH 0, RC 0, SEX 9
tebak ini dimana  - T 0, IT 0, TH 0, RC 0, SEX 0
, selamat, level cintamu kepada lort naik menjadi level 32!   - T 0, IT 0, TH 0, RC 0, SEX 0
malioboro - T 30, IT 14, TH 0, RC 12, SEX 35
salah wakakak - T 12, IT 6, TH 0, RC 16, SEX 10
allah - T 3, IT 2, TH 0, RC 5, SEX 23
nganjuk coy - T 30, IT 14, TH 0, RC 12, SEX 35
gatau ane coek - T 30, IT 12, TH 0, RC 16, SEX 23
mirip kan? - T 16, IT 13, TH 0, RC 34, SEX 23
baru sampe jogja - T 6, IT 9, TH 0, RC 7, SEX 14
mirip - T 16, IT 13, TH 0, RC 34, SEX 23
wakakak - T 30, IT 14, TH 0, RC 12, SEX 35
jogja aku cuman di borobudur sama parangtritis doang - T 0, IT 0, TH 0, RC 0, SEX 0
malioboro belom pernah - T 14, IT 20, TH 0, RC 5, SEX 14
lah mirip - T 5, IT 3, TH 0, RC 21, SEX 9
bener men mirip - T 0, IT 1, TH 0, RC 8, SEX 0
plagiat  - T 27, IT 4, TH 4, RC 15, SEX 5
a yani - T 13, IT 9, TH 0, RC 12, SEX 19
kece tuh kayaknya - T 28, IT 1, TH 0, RC 4, SEX 32
kece - T 30, IT 14, TH 0, RC 12, SEX 35
dimana itu - T 0, IT 0, TH 0, RC 3, SEX 0
di mana itu - T 0, IT 0, TH 0, RC 1, SEX 0
 hbd timo - T 27, IT 4, TH 4, RC 15, SEX 5
, sky.#9188 saat ini sedang afk - 6 hours, 4 minutes, 49 seconds agoalasan: - T 10, IT 5, TH 0, RC 1, SEX 1
tamannya - T 30, IT 14, TH 0, RC 12, SEX 35
belom jadi - T 48, IT 5, TH 0, RC 42, SEX 51
lagi dikebut - T 48, IT 19, TH 0, RC 3, SEX 29
ini jogjal/nganjuk ? - T 27, IT 26, TH 0, RC 1, SEX 3
nganjuk - T 30, IT 14, TH 0, RC 12, SEX 35
jatim - T 30, IT 14, TH 0, RC 12, SEX 35
lagi berbenah - T 48, IT 19, TH 0, RC 3, SEX 29
wih kece - T 30, IT 14, TH 0, RC 12, SEX 35
bupatinya sangar cuy - T 30, IT 14, TH 0, RC 12, SEX 35
jadi pgn ke jogja  - T 34, IT 0, TH 0, RC 17, SEX 1
sini jogja - T 3, IT 3, TH 1, RC 1, SEX 1
jauh - T 84, IT 82, TH 0, RC 41, SEX 67
saia di palembang - T 7, IT 1, TH 0, RC 3, SEX 10
hdh - T 30, IT 14, TH 0, RC 12, SEX 35
masih maintance kh - T 6, IT 5, TH 0, RC 7, SEX 13
jadi kalo foto disitu - T 82, IT 2, TH 0, RC 45, SEX 97
biar di kira jogjalisme - T 3, IT 0, TH 0, RC 0, SEX 1
kuli ngebut pasti kuli jawa - T 79, IT 32, TH 0, RC 71, SEX 13
kuli klo gk dari jawa gk ngebut - T 17, IT 1, TH 0, RC 8, SEX 18
dan bilapintu fajar merekahkeluh kesah tak kenal batas dan tujuannya - T 10, IT 1, TH 0, RC 0, SEX 11
 👍 - T 27, IT 4, TH 4, RC 15, SEX 5
ingfo - T 30, IT 14, TH 0, RC 12, SEX 35
anak ingfo - T 35, IT 3, TH 0, RC 5, SEX 47
sut lakasut amat ingfo mulu - T 1, IT 24, TH 1, RC 1, SEX 0
masih ga ngeh sama wangsaf - T 0, IT 12, TH 0, RC 2, SEX 0
ingfo sebelah flish telat mulu - T 39, IT 21, TH 0, RC 42, SEX 70
no ingfo - T 0, IT 0, TH 0, RC 0, SEX 2
sebelah? - T 30, IT 14, TH 0, RC 12, SEX 35
hangdeh - T 30, IT 14, TH 0, RC 12, SEX 35
ingfo cuy - T 30, IT 14, TH 0, RC 12, SEX 35
saat rasis harus rapih dan sopan - T 55, IT 13, TH 0, RC 5, SEX 33
pagi - T 11, IT 6, TH 0, RC 6, SEX 12
rasis kamu - T 33, IT 40, TH 32, RC 33, SEX 0
pagi - T 11, IT 6, TH 0, RC 6, SEX 12
pagi 🐝👎 - T 11, IT 6, TH 0, RC 6, SEX 12
aku tidak bisa berpura pura nyaman menjadi tidak rasis bro - T 24, IT 0, TH 0, RC 3, SEX 0
kita hidup bermasyarakat - T 43, IT 6, TH 0, RC 0, SEX 35
kato lacur - T 15, IT 7, TH 0, RC 7, SEX 10
hidup cuman sekali, masa ga mau jadi rasis 😏😄 - T 1, IT 18, TH 0, RC 3, SEX 1
tru juga sih - T 0, IT 9, TH 0, RC 0, SEX 4
bene - T 30, IT 14, TH 0, RC 12, SEX 35
pagi pagi remuxxx - T 11, IT 6, TH 0, RC 6, SEX 12
based sekali  - T 87, IT 9, TH 6, RC 18, SEX 4
ga ada soundcloud  - T 0, IT 0, TH 1, RC 2, SEX 0
soundcloud  - T 27, IT 4, TH 4, RC 15, SEX 5
hamdeh - T 30, IT 14, TH 0, RC 12, SEX 35
lewat vrowser - T 30, IT 14, TH 0, RC 12, SEX 35
need jackboys koplo firall - T 2, IT 2, TH 0, RC 4, SEX 5
hamdeh - T 30, IT 14, TH 0, RC 12, SEX 35
susah - T 3, IT 2, TH 0, RC 2, SEX 6
mantep juga franklin ngedrag - T 9, IT 16, TH 0, RC 2, SEX 20
hangdeh - T 30, IT 14, TH 0, RC 12, SEX 35
bruh lagunya 1 jam - T 30, IT 13, TH 0, RC 16, SEX 26
tukang dj kh - T 1, IT 1, TH 0, RC 3, SEX 3
awokwkk dra ini berasa kek jamet banget - T 71, IT 25, TH 0, RC 0, SEX 0
pptttttff - T 30, IT 14, TH 0, RC 12, SEX 35
jamet kuproy  - T 27, IT 4, TH 4, RC 15, SEX 5
tru kek jamet kuli - T 88, IT 88, TH 0, RC 1, SEX 32
mixtape - T 30, IT 14, TH 0, RC 12, SEX 35
yang bikin orang kuliah seni itu - T 1, IT 0, TH 0, RC 2, SEX 0
njirr - T 30, IT 14, TH 0, RC 12, SEX 35
buset - T 30, IT 14, TH 0, RC 12, SEX 35
awowkkw - T 30, IT 14, TH 0, RC 12, SEX 35
omw saranin ke angkot - T 1, IT 1, TH 0, RC 1, SEX 0
liat aja bionya - T 0, IT 2, TH 0, RC 3, SEX 0
bang ada yg make fb ori tpi klo ngetik di suatu post keyboardnya jadi delay parah ?? - T 0, IT 0, TH 0, RC 0, SEX 0
no ingfo - T 0, IT 0, TH 0, RC 0, SEX 2
belum buka fb - T 1, IT 1, TH 0, RC 2, SEX 1
me fb lite  - T 27, IT 4, TH 4, RC 15, SEX 5
ngontol bener kalo mau ngetik jadi delay parah  - T 40, IT 0, TH 0, RC 14, SEX 1
alhamdulillah kuat pake ori sama lite  - T 1, IT 1, TH 3, RC 1, SEX 0
ane vang - T 30, IT 14, TH 0, RC 12, SEX 35
ane tuh sama pasang dua fb - T 1, IT 1, TH 0, RC 1, SEX 0
kece parah  - T 46, IT 2, TH 5, RC 16, SEX 1
tapi kalo pasang ori pas liat lite kek ga enak rasanya - T 2, IT 15, TH 0, RC 0, SEX 0
bener - T 1, IT 1, TH 0, RC 2, SEX 1
buka lite kalo ada messenger doang - T 0, IT 0, TH 0, RC 1, SEX 2
adalah saya buka fb browser klo ada messenger - T 0, IT 0, TH 0, RC 0, SEX 2
fb lite sebagai pengganti messenger - T 72, IT 32, TH 0, RC 16, SEX 40
tru butuh dm doang sih fb lite - T 0, IT 5, TH 0, RC 0, SEX 3
bengak - T 30, IT 14, TH 0, RC 12, SEX 35
 ada ingfo ga - T 0, IT 0, TH 1, RC 2, SEX 0
fb lite bagus - T 30, IT 14, TH 0, RC 12, SEX 35
fb ori jelek - T 17, IT 48, TH 0, RC 7, SEX 9
suka bermasalah terus - T 9, IT 48, TH 0, RC 9, SEX 49
masa aku upload foto gagal - T 1, IT 0, TH 0, RC 1, SEX 8
padahal jaringan itu bagus loh gk ada masalah - T 0, IT 0, TH 0, RC 1, SEX 0
giliran coba up di lite baru bisa - T 12, IT 0, TH 0, RC 1, SEX 2
fb ori banyakan fitur doang - T 4, IT 8, TH 0, RC 4, SEX 12
lebih tepatnya bloated - T 15, IT 19, TH 0, RC 12, SEX 5
bener - T 1, IT 1, TH 0, RC 2, SEX 1
ga sampe 1 tahun - T 1, IT 46, TH 1, RC 9, SEX 1
reboot aja hp antum - T 4, IT 34, TH 0, RC 10, SEX 0
masalah selesai - T 4, IT 2, TH 0, RC 3, SEX 0
atau ga pake lite - T 1, IT 6, TH 0, RC 1, SEX 0
bosen kalo tiap buka fb harus rebut dlu - T 25, IT 1, TH 0, RC 14, SEX 58
ane pernah kena gituan - T 4, IT 2, TH 1, RC 2, SEX 1
reboot - T 30, IT 14, TH 0, RC 12, SEX 35
lalu masalah selesai - T 0, IT 0, TH 0, RC 1, SEX 0
bener update sekarang fb ori aneh bener - T 0, IT 2, TH 0, RC 2, SEX 0
bug bejibun - T 30, IT 14, TH 0, RC 12, SEX 35
cuman nambahin fitur gaguna - T 0, IT 7, TH 0, RC 37, SEX 1
mending twitter - T 7, IT 4, TH 0, RC 5, SEX 21
hadeh twitter buat liat bokep doang - T 0, IT 0, TH 0, RC 0, SEX 0
kece tuh - T 10, IT 3, TH 0, RC 7, SEX 7
tpi sebentar doang  - T 4, IT 2, TH 1, RC 4, SEX 1
ingpo - T 12, IT 7, TH 0, RC 20, SEX 13
twitter buat nyari skandal - T 1, IT 2, TH 0, RC 0, SEX 0
 hina ya kau - T 5, IT 0, TH 100, RC 0, SEX 0
>:( - T 30, IT 14, TH 0, RC 12, SEX 35
kaido - T 30, IT 14, TH 0, RC 12, SEX 35
:vler - T 30, IT 14, TH 0, RC 12, SEX 35
fb ane biasa ada dmnya loh - T 1, IT 0, TH 0, RC 6, SEX 7
mangsud - T 30, IT 14, TH 0, RC 12, SEX 35
konnichiwa minna-ssan (｡♡‿♡｡) - T 30, IT 14, TH 0, RC 12, SEX 35
pagi djawa - T 11, IT 6, TH 0, RC 6, SEX 12
bengek hyungs - T 30, IT 14, TH 0, RC 12, SEX 35
tetek - T 44, IT 10, TH 0, RC 11, SEX 87
gapeduli sih sama tetek bengek permasalahannya - T 1, IT 3, TH 0, RC 0, SEX 9
tetek bengek - T 44, IT 10, TH 0, RC 11, SEX 87
bengek toketnya hyung - T 30, IT 14, TH 0, RC 12, SEX 35
ane gk bisa - T 66, IT 2, TH 0, RC 8, SEX 29
_cf all - T 47, IT 6, TH 0, RC 9, SEX 61
:vagi - T 30, IT 14, TH 0, RC 12, SEX 35
pagi trury - T 11, IT 6, TH 0, RC 6, SEX 12
cockrate - T 30, IT 14, TH 0, RC 12, SEX 35
keseharian ijul - T 30, IT 14, TH 0, RC 12, SEX 35
makasih yang udh ngucapin ya, sori telat ngucapinnya - T 0, IT 0, TH 0, RC 2, SEX 1
, kato telah mencabut status afk mu! - T 24, IT 8, TH 0, RC 1, SEX 13
huhuhu - T 30, IT 14, TH 0, RC 12, SEX 35
ditunggu  - T 23, IT 2, TH 5, RC 10, SEX 3
(2) - T 30, IT 14, TH 0, RC 12, SEX 35
waduh - T 30, IT 14, TH 0, RC 12, SEX 35
hbd bang timo - T 0, IT 0, TH 0, RC 1, SEX 4
a6 makan" - T 30, IT 14, TH 0, RC 12, SEX 35
 ada ingfo ga - T 0, IT 0, TH 1, RC 2, SEX 0
gas pesen makan di gopay nanti mas timo yg bayar - T 1, IT 1, TH 0, RC 0, SEX 0
mabar? - T 30, IT 14, TH 0, RC 12, SEX 35
tomat is afk: mbatang - 6 hours ago - T 26, IT 15, TH 0, RC 14, SEX 19
ntar siang ajh - T 27, IT 16, TH 0, RC 10, SEX 34
y udah ntr aja - T 1, IT 30, TH 0, RC 12, SEX 0
bang gmn biar bisa chat di channel lapak jual beli? - T 1, IT 0, TH 0, RC 10, SEX 4
hbd timo - T 30, IT 14, TH 0, RC 12, SEX 35
, selamat, level cintamu kepada lort naik menjadi level 8!   - T 0, IT 0, TH 0, RC 0, SEX 0
bagi angpau - T 4, IT 3, TH 0, RC 4, SEX 6
aku mau promosi jualan dm ff - T 0, IT 0, TH 0, RC 0, SEX 0
donate dulu - T 8, IT 6, TH 0, RC 5, SEX 15
jual beli bukannya butuh level? - T 61, IT 16, TH 0, RC 18, SEX 63
ohh yang lapak jual beli - T 7, IT 2, TH 0, RC 3, SEX 10
kukira ngiklan bebas - T 12, IT 5, TH 0, RC 10, SEX 14
aku jarang chat wkwk - T 15, IT 5, TH 0, RC 89, SEX 27
hadeh amat kena mute - T 0, IT 1, TH 3, RC 0, SEX 0
gpp bang jangan dipaksa - T 1, IT 20, TH 0, RC 3, SEX 2
jangan dipaksa jika memang sudah tak bisa - T 99, IT 75, TH 0, RC 13, SEX 15
sp tw liriknya - T 81, IT 2, TH 0, RC 3, SEX 92
lapak jual beli level 5 - T 51, IT 6, TH 0, RC 5, SEX 18
pas udh dapet smh - T 9, IT 5, TH 0, RC 17, SEX 15
bang - T 0, IT 0, TH 0, RC 1, SEX 4
dream - T 30, IT 14, TH 0, RC 12, SEX 35
krinj - T 30, IT 14, TH 0, RC 12, SEX 35
pagi sayang - T 0, IT 0, TH 0, RC 1, SEX 3
, kato telah mencabut status afk mu! - T 24, IT 8, TH 0, RC 1, SEX 13
ijul bugil - T 30, IT 14, TH 0, RC 12, SEX 35
pemerintah - T 21, IT 5, TH 0, RC 12, SEX 40
iya sayang - T 1, IT 0, TH 0, RC 1, SEX 1
ingpo sugar mommy daerah kalimantan timur - T 19, IT 6, TH 0, RC 14, SEX 30
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
need fast, mau beli keyboard gamink - T 0, IT 0, TH 0, RC 0, SEX 0
waduh pasti good looking nih - T 83, IT 0, TH 1, RC 2, SEX 9
mau jadi brondong kh - T 1, IT 0, TH 0, RC 3, SEX 2
yoi - T 30, IT 14, TH 0, RC 12, SEX 35
tylko jedno w głowie mam - T 30, IT 14, TH 0, RC 12, SEX 35
cari aja ke tempat tempat yang isinya ibu ibi arisan kalangan atas - T 0, IT 25, TH 0, RC 2, SEX 0
njir - T 0, IT 0, TH 0, RC 1, SEX 1
sapa tau dapet - T 0, IT 0, TH 0, RC 0, SEX 0
dapet sih dapet - T 2, IT 8, TH 0, RC 0, SEX 5
diarak satu rt - T 19, IT 17, TH 0, RC 3, SEX 16
bermabar? hayu - T 30, IT 14, TH 0, RC 12, SEX 35
ingfokan juga cuy - T 9, IT 16, TH 0, RC 2, SEX 20
hari ini bagi rapot tp spp aku blum lunas - T 0, IT 0, TH 0, RC 0, SEX 0
jiah - T 30, IT 11, TH 0, RC 11, SEX 33
cepet amat - T 12, IT 74, TH 1, RC 1, SEX 8
aku 23 njirs - T 5, IT 2, TH 0, RC 2, SEX 5
troe - T 30, IT 14, TH 0, RC 12, SEX 35
yuk - T 88, IT 1, TH 0, RC 4, SEX 84
lah baru ngeh sekrng jumat - T 2, IT 2, TH 0, RC 2, SEX 3
jiah - T 30, IT 11, TH 0, RC 11, SEX 33
jd gmn? - T 35, IT 16, TH 0, RC 14, SEX 35
nanti aja deh, mau mandi - T 1, IT 64, TH 1, RC 1, SEX 0
tes - T 30, IT 14, TH 0, RC 12, SEX 35
masuk - T 3, IT 5, TH 1, RC 10, SEX 2
dari kemarin setiap habis sholat pasti hujan - T 29, IT 2, TH 0, RC 2, SEX 41
musim hujan - T 4, IT 2, TH 0, RC 3, SEX 12
iya nanti nanti aja barengan sama yang lain - T 0, IT 7, TH 4, RC 0, SEX 0
iya sih - T 2, IT 5, TH 1, RC 0, SEX 1
enak juga jadi ga panas - T 0, IT 11, TH 0, RC 0, SEX 1
wtf - T 30, IT 14, TH 0, RC 12, SEX 35
wah ajg dota update 1gb - T 2, IT 4, TH 0, RC 1, SEX 26
hadeh - T 0, IT 1, TH 0, RC 1, SEX 0
peleeer peeeler - T 30, IT 14, TH 0, RC 12, SEX 35
niat beli makan malah  lupa ngisi bensim - T 0, IT 0, TH 1, RC 0, SEX 0
olahraga siang dorong motor 3 km - T 4, IT 1, TH 0, RC 2, SEX 7
akwkakak - T 30, IT 14, TH 0, RC 12, SEX 35
pong bengsin - T 30, IT 14, TH 0, RC 12, SEX 35
lumayan olahraga 3km - T 8, IT 5, TH 0, RC 4, SEX 19
untung di bantu - T 5, IT 1, TH 0, RC 2, SEX 12
bersyukur ada yg simpati ama aku - T 0, IT 0, TH 0, RC 0, SEX 0
masi ada yg bantu - T 0, IT 0, TH 0, RC 1, SEX 2
njir - T 0, IT 0, TH 0, RC 1, SEX 1
di bantu dorong - T 13, IT 2, TH 0, RC 2, SEX 12
motor macet ato kehabisan bensin? - T 8, IT 8, TH 0, RC 8, SEX 10
bensin - T 30, IT 14, TH 0, RC 12, SEX 35
pas di sawah abisnya - T 13, IT 2, TH 0, RC 2, SEX 12
?afk absen jumatan - T 30, IT 14, TH 0, RC 12, SEX 35
 i set your afk: absen jumatan - T 27, IT 4, TH 4, RC 15, SEX 5
waduh - T 30, IT 14, TH 0, RC 12, SEX 35
hmmm - T 30, IT 14, TH 0, RC 12, SEX 35
kalo ibadahnya senin apakah jadi seninan? - T 81, IT 1, TH 0, RC 51, SEX 80
tebak agama - T 0, IT 1, TH 0, RC 1, SEX 1
gud kwesyen - T 30, IT 14, TH 0, RC 12, SEX 35
islam - T 46, IT 6, TH 0, RC 18, SEX 28
kristen - T 16, IT 14, TH 0, RC 10, SEX 39
katolik - T 30, IT 14, TH 0, RC 12, SEX 35
apakah kalo masuk jurusan seni pas wisuda dapet gelar art? - T 7, IT 1, TH 1, RC 17, SEX 3
ardra art - T 30, IT 14, TH 0, RC 12, SEX 35
engga - T 30, IT 14, TH 0, RC 12, SEX 35
buddha - T 30, IT 14, TH 0, RC 12, SEX 35
hindu - T 30, IT 14, TH 0, RC 12, SEX 35
konghucu - T 30, IT 14, TH 0, RC 12, SEX 35
kristen kamu - T 20, IT 44, TH 28, RC 28, SEX 0
hadeh no info - T 0, IT 0, TH 0, RC 0, SEX 0
asisten rumah tangga? - T 9, IT 4, TH 0, RC 6, SEX 14
islam kamu - T 50, IT 22, TH 13, RC 46, SEX 0
gud kwesyen - T 30, IT 14, TH 0, RC 12, SEX 35
 patch baru - T 0, IT 0, TH 1, RC 1, SEX 0
tes - T 30, IT 14, TH 0, RC 12, SEX 35
njir - T 0, IT 0, TH 0, RC 1, SEX 1
ilang ilang sinyal nya - T 2, IT 8, TH 0, RC 3, SEX 9
masuk ngab - T 1, IT 4, TH 1, RC 8, SEX 1
, kato telah mencabut status afk mu! - T 24, IT 8, TH 0, RC 1, SEX 13
ok sisa 100mb - T 8, IT 6, TH 0, RC 6, SEX 5
enggak tau - T 0, IT 0, TH 0, RC 0, SEX 3
hapus - T 30, IT 14, TH 0, RC 12, SEX 35
bakekok - T 30, IT 14, TH 0, RC 12, SEX 35
menunggu - T 30, IT 14, TH 0, RC 12, SEX 35
kita - T 8, IT 7, TH 0, RC 1, SEX 13
tai - T 58, IT 12, TH 1, RC 5, SEX 39
sholat jumat biar gantenk - T 12, IT 3, TH 0, RC 1, SEX 3
besar kecil - T 96, IT 1, TH 0, RC 1, SEX 99
pujaan - T 30, IT 14, TH 0, RC 12, SEX 35
pki - T 17, IT 6, TH 0, RC 7, SEX 28
jne - T 30, IT 14, TH 0, RC 12, SEX 35
lawak - T 0, IT 0, TH 0, RC 1, SEX 4
